Comments,Engagement rate,Image,Likes,Url,Date,Caption
0,0.10633066177545623%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/96585674_273055533734785_5798900772860065808_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=cjxdta65u0sAX9_a-aF&oh=3c20fc0de5e1923c698fb70725e6decc&oe=5EE3E889,80,https://www.instagram.com/p/CAAY0MElnHU,Sun May 10 18:42:19 WIB 2020,"Ayo latih semua indera mu! Sambil kita melatih, sambil kita bermain! Pasti seru nih, Kals!.#kidzaniahappylearning #KidzaniaJakarta #jakartainfo #jakartahits #jakarta #indera #pancaindera #matilampu #parentingmemes #parenting #parentinglife"
0,0.09968499541449022%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/96211394_1533098286860033_4610334967172311451_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=4WzB3i_otCAAX88pWdE&oh=ebe869ca81420aa3f854305e86327256&oe=5EE355ED,75,https://www.instagram.com/p/B_86RJalxTd,Sat May 09 10:17:40 WIB 2020,"Kals! Meski pun kita sedang berpuasa, tapi kita tidak boleh bermalas-malasan! Tetap produktif dan selalu perkaya dirimu dengan pelajaran-pelajaran yang diajarkan oleh guru dari rumah. Yuk simak tips agar kalian terus fokus belajar selama bulan Ramadhan ini!.#kidzaniahappylearning #KidzaniaJakarta #jakarta #jakartainfo #jktgo #infojkt #jktinfo #belajar #belajarseru #BelajarDiRumah #ramadhan #puasa"
0,0.11164719486422903%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95957970_265617797959803_4348564147082851666_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=7z8zgfc14sEAX8LIJ-M&oh=e0ba108a318a1732cc755d3ae65d9d00&oe=5EE0FF60,84,https://www.instagram.com/p/B_3oaPflIwA,Thu May 07 09:05:25 WIB 2020,"Selamat Hari Raya Waisak, untuk kalian yang merayakannya! Damai di bumi, damai di hati kita semua..#kidzaniahappylearning #waisak #vesakday #KidzaniaJakarta #parentingquotes #parentingislami #parentinganak #parentinglife #parentinggoals #parentingmemes #parentingindonesia #parentingwin #parentingblogger #parentingadvice #jktinfo #jakartahits"
2,0.16215425920757073%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/96293334_101785861498774_2807628118643960090_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=8Zo7rMx9LwEAX9IJReI&oh=ab64da0661038cdcfdf44c94889c904c&oe=5EE389DC,120,https://www.instagram.com/p/B_09xpIlxu_,Wed May 06 08:14:23 WIB 2020,"Keamanan diri sendiri sangat penting di bulan suci ini, Kals! Yuk lebih waspada lagi dalam menjalani ibadah puasa kita dan konsumsi banyak air saat berbuka puasa dan sahur agar terhindar dari panas dalam..#kidzaniahappylearning #KidzaniaJakarta #puasa #ramadhan #ramadan #anak #kids #main #bermain #parentingquotes #parentingislami #parentinganak #parentinglife #parentinggoals #parentingmemes #parentingindonesia #parentingwin #parentingblogger #parentingadvice #jktinfo #jakartahits"
1,0.15550859284660473%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95492979_1615651335268980_633282648837291684_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=_1nvIMx78OcAX8PC5GU&oh=7796642eef368f03373860e0280e8d74&oe=5EE1F041,116,https://www.instagram.com/p/B_zcVVfFup5,Tue May 05 18:02:55 WIB 2020,"Membuat kue untuk mempersiapkan hari raya nanti bersama si kecil pasti akan jadi pengalaman yang tak terlupakan, moms! Yuk ajak si kecil untuk melakukan kegiatan ini!.#kidzaniahappylearning #KidzaniaJakarta #kue #cookies #puasa #ramadan #learn #belajar #bermainsambilbelajar #parentingtalk #parentingadvice"
7,0.3841195156638356%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95860730_279413676402148_3190716009803973863_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=w-eo1zijxVQAX96fAu1&oh=dc216e716fb50f6c5c4969eb7b3b7297&oe=5EE3457A,282,https://www.instagram.com/p/B_wEOtBF9WD,Mon May 04 10:34:35 WIB 2020,"Tahukah kamu, ternyata sajadah sudah banyak yang diberikan teknologi, sehingga bisa membantu dan memelihara kenyamanan selama melakukan ibadah lho! Penasaran? Ayo simak postingan ini!.#kidzaniahappylearning #KidzaniaJakarta #sajadah #tech #teknologi #sains #maindiKidZania #kidzania #bermainsambilbelajar #main"
2,0.16614165902415035%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95267689_157099922511161_243023165489794520_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=X4uAic-8jLwAX_pY7Wp&oh=e8a979e0d5e059927c542a4a5ba7bc88&oe=5EE39DC3,123,https://www.instagram.com/p/B_tVwVYFkBk,Sun May 03 09:10:00 WIB 2020,"Berpuasa cenderung bisa menyebabkan kita masuk angin, Kals!  Nah, jahe sangat membantu menghangatkan tubuh agar tidak mudah terserang masuk angin! Ayo, siapa yang sudah pernah mendapatkan jahe di Urban Forest KidZania Jakarta?.#kidzaniahappylearning #KidzaniaJakarta #maindiKidZania #antanginjunior #masukangin #emponempon #puasa #anakpuasa #ramadan #ramadhan"
0,0.0943684623257174%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/96057499_1613590908792117_1723948418463985602_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=J4K-UzISY_YAX_g_rH9&oh=da29fa8a202ec0a55185706a0d516451&oe=5EE30BF6,71,https://www.instagram.com/p/B_q_Ia6l-rP,Sat May 02 11:13:50 WIB 2020,"Selamat Hari Pendidikan Nasional, Kals! Ayo lawan ketakutan dengan ilmu pengetahuan!..#KidZaniaHappyLearning #KidZaniaJakarta #MainDiKidZania"
0,0.11031806159203583%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95500083_2346647862295132_5332295125410850643_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=6BUN_nHuscgAX_3ksFz&oh=d4114379a237870a1a0760cd3b952820&oe=5EE092CE,83,https://www.instagram.com/p/B_py8HdFg4h,Sat May 02 00:08:03 WIB 2020,"Menatap hari depan dengan positif dan ceria. Terus berhubungan baik dengan keluarga dan sesama. Mendekatkan diri selalu kepada Sang Pencipta. Juga belajar untuk mengetahui banyak hal baru yang menyenangkan juga menenangkan..#kidzaniahappylearning #KidzaniaJakarta #maindiKidZania"
0,0.0930393290535242%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95131061_961952700888347_6015502205650486187_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=bHHhKIL0nnMAX-f9t2_&oh=b2d6baf357171e89cda00776ec66433f&oe=5EE08E83,70,https://www.instagram.com/p/B_pyvrCFJVK,Sat May 02 00:06:21 WIB 2020,"Bulan yang penuh kemenangan ini, selalu menjaga hati, pikiran, dan kelakuan agar lebih dimurnikan lagi. Juga membantu banyak orang dan memberikan harapan kepada sesama..#kidzaniahappylearning #KidzaniaJakarta #maindiKidZania"
