Comments,Engagement rate,Image,Likes,Url,Date,Caption
0,0.1948961568914063%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/96580357_560687714832244_1412813238720045978_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=y9ZmL0uTITIAX_1OXWK&oh=a5a8afd0c873bf6aae465636342d5d09&oe=5EE1DA24,32,https://www.instagram.com/p/B__Ue-JgQCw,Sun May 10 08:45:13 WIB 2020,"It’s Sunday, It’s Sunny day and It’s Mother’s DayWhat is your favorite me-time mom?and remember that selfcare is not selfishHappy International Mother’s Day 💝🐰 #miniapolis #miniapolisplayground #happyinternationalmothersday #bringingsmilestoeveryone #mommetine"
0,0.231439186308545%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95955027_568893680498819_3416946031951983417_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=i7wamo0jrKMAX_mT0ZN&oh=55d3db62ca65a4a15dfddcfbea0528c1&oe=5EE08D4B,38,https://www.instagram.com/p/B_6XkO3gpd-,Fri May 08 10:35:57 WIB 2020,"Menjaga kesehatan di masa seperti ini memang satu hal yang wajib banget ya moms.Biasanya, si kecil demam atau batuk, bisa langsung dibawa ke dokter buat konsultasi. Tapi sekarang, mikir ratusan kali kalau harus bawa anak ke Rumah Sakit.So, biar kondisi anak bisa tetap fit atau moms jangan langsung panik kalau anak demam. Apa aja sih yang harus dilakukan?  Dann  mana yang mitos atau fakta?Miniapolis instagram live barengan sama dokter anak @distyayu di hari Selasa, 12 Mei 2020 jam 4 sore. Catat tanggalnya ya moms dan silahkan siapkan pertanyaan atau apa yang mengganjal selama ini seputar kesehatan anak. Miniapolis akan buka sesi pertanyaan, boleh di kolom komentar dan boleh juga di DM.Jangan sampe ketinggalan ya moms, dan ditunggu pertanyaannya 🐰#miniapolis #miniapolisplaygrond #bringingsmilestoeveryone #IGlive #momandkids"
0,0.1583531274742676%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/96083213_244242690025272_798348575210466434_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=CaJTokhv9CMAX8bA7DU&oh=449b113d3aa18c1e2071cf9b778f6f4a&oe=5EE2BA95,26,https://www.instagram.com/p/B_3zmLtgW6Y,Thu May 07 10:43:10 WIB 2020,"-Science tells us that brains, minds are built not born- #miniapolis #miniapolisplayground #miniapoliskidsclub #bringingsmilestoeveryone #kidsactivity"
0,0.2253486814056885%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95626532_3787806554594207_2934559866240278475_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=KbDbT4qlQDAAX-W7tAL&oh=98f9eb4d76a148469bc2f6b025209321&oe=5EE1827A,37,https://www.instagram.com/p/B_1WxQlDy9n,Wed May 06 11:52:47 WIB 2020,"Hi moms,Udah pernah masak bareng si kecil belum selama #dirumahaja? Kalau sudah pernah, apa sih yang paling menyenangkan dari kegiatan masak bareng si kecil? 🍩🍨🐰 #miniapolis #miniapolisplayground #kidsactivity #bringingsmilestoeveryo e"
43,1.2850965345027103%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95316088_153648586138713_7087046819026450684_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=03hd2s73AB4AX857Dan&oh=489c6dfb0fe54994551f2a1b70d24ad5&oe=5EE2F0BF,168,https://www.instagram.com/p/B_v3pW8DixL,Mon May 04 08:44:37 WIB 2020,"Hi moms and kids,Yes, we miss you.Miss your laugh, miss your voice, miss your smileDan banyaakk lagi yang kami rindukan.Miniapolis juga mau mengajak moms dan si kecil buat mengingat kembali, apa aja hal yang membuat moms dan si kecil rindu dengan Miniapolis. Ada boneka Cricks yang akan diberikan kepada 3 moms beruntung, untuk menemani dan mengobati rindu si kecil. Caranya: 1. Follow @miniapolisplayground2. Like postingan di atas3. Sebutkan hal yang paling dirindukan dari Miniapolis dan sebutkan cabangnya4. Mention 3 orang teman yang pernah main bersama atau ingin diajak bermain nantinya ke Miniapolis5. Account jangan di private ya moms3 orang yang beruntung akan kami umumkan hari Sabtu, 9 May 2020 di instastory @miniapolisplayground Thank you moms 🐰 #miniapolis #miniapolisplayground #wemissyou #giveaway #kidsactivity"
0,0.16444363237712406%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95264635_138095581142934_1419036441328694866_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=iCd-XhbQiY0AX_oRUyq&oh=cf3913a26d9625fd2780f267550a65c9&oe=5EE36D6C,27,https://www.instagram.com/p/B_uBwBVD1Mw,Sun May 03 15:34:26 WIB 2020,"Hello, Restock Crick’s Kits Shapes seriesTerima kasih yang sudah memesan dan bermain Crick’s Kits “Let’s learn about shapes” Ada 5 jenis permainan untuk mengenal bentuk dan sudah termasuk spidol, playdoh, shoe lace, wooden peg juga instruksi cara bermain. Buat yang belum kebagian, Miniapolis kembali membuat Shapes series ini lho. Selain ada 5 jenis kartu untuk mengenal bentuk yang bisa dimainkan sesuai instruksi, kartu ini bisa dimainkan dengan beberapa cara lagi, misalnya dikelompokkan sesuai warna, sesuai bentuk dan playdoh juga bisa dimainkan dengan kreasi lainnya.  Info dan pembelian: 0811 1573 743Jangan lupa share video atau foto sambil bermaim Crick’s Kits yaa moms. Dan tunggu kejutan Crick’s Kit selanjutnya 🐰❤️ miniapolis #miniapolisplayground #crickskits #earlysciencelearning #kidsactivity"
0,0.231439186308545%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95259260_118274123196558_7343553305104703839_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=evYStBEQcYAAX9Cv1ic&oh=28bc96650fc21114ced372ea817398dc&oe=5EE206D2,38,https://www.instagram.com/p/B_trCLej3Dk,Sun May 03 12:15:56 WIB 2020,"Saat #dirumahaja tentunya jadi banyak waktu untuk bermain dengan si kecil ya moms. Kegiatan di sekolah memang terhenti, dan berganti menjadi #dirumahaja. Tidak belajar di sekolah, bukan berarti berhenti belajar. Kegiatan berdua dengan si kecil yang paling menyenangkan selama #dirumahaja versi moms apa nih? 🐰 Share ke kita yuk moms, siapa tau ada yang bisa kasih ide dan terinspirasi untuk mengisi waktu di rumah bersama si kecil, supaya tidak bosan. #miniapolis #miniapolisplayground #boundingtimewithfamily #kidsactivity"
0,0.18880565198854984%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/95174683_133978781573757_3373546480005469768_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=DQOGcld89ZoAX_vcTJe&oh=b09349b49899a87a75c2e1b80bca3059&oe=5EE1E810,31,https://www.instagram.com/p/B_oxFMwDpGt,Fri May 01 14:32:35 WIB 2020,"Dear Mom, Daddy, Aunty and Uncle, Semangat terus bekerja, terutama untuk semua yang berada di garda depan untuk memenuhi kebutuhan pokok demi kelangsungan perjalanan hidup menghadapi situasi ini.A sincere thank you to each one of you and We wish strength and better future for the hardworking workers in Indonesia 🇮🇩 Happy International Labour Day #miniapolis #miniapolisplayground #indonesiapeduli #mayday #internationallabourday #indonesiabersatu#bringingsmilestoeveryone"
0,0.21925817650283208%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/95371626_230428338394597_4618457983094373467_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=s29aDNfATaAAX8zXq01&oh=19d08f6a4fe3c9b853ffaee1dedc7b8b&oe=5EE431F0,36,https://www.instagram.com/p/B_mEdvDDuja,Thu Apr 30 13:24:14 WIB 2020,"Hi Moms,Bagaimana kegiatan #dirumahaja dengan si kecil? Crick rindu sekali membuat kegiatan bersama di Miniapolis Tapi tentunya Miniapolis tetap ingin menjadi teman si kecil selama #dirumahaja. Saat ini ada Crick’s Kits untuk kegiatan motoric si kecil dengan menggunakan reusable cards.Tidak hanya itu, Miniapolis akan membuat Crick’s Kits seri lainnya untuk menemani si kecil di rumah. Stay tune and Stay safe Moms 🐰 #miniapolis #miniapolisplayground #crickskits #bringingsmilestoeveryone"
0,0.1948961568914063%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/94967576_1047942032259189_617055577591681747_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3xKwUTgzhhEAX-X5x79&oh=6e33cfb05aef21442baecadc9af5f314&oe=5EE298F2,32,https://www.instagram.com/p/B_bol0nDTZh,Sun Apr 26 12:08:16 WIB 2020,"A DAY AT HOME WITH YOUR LITTLE ONEHi Mom, Masih #dirumahaja dan dalam suasana bulan Ramadhan ini, tentunya sudah punya kegiatan rutin dengan si kecil ya moms. Sharing yuk moms, ada kegiatan unik atau berbeda apa yang sekarang moms lakukan dengan si kecil selama #dirumahaja? Atau sama dengan yang kita lakukan? Share di kolom comment ya moms 🐰#miniapolis #miniapolisplayground #bringingsmilestoeveryone #kidsactivity"
