Comments,Engagement rate,Image,Likes,Url,Date,Caption
0,0.8017817371937639%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95683879_240181153898555_603253056863415773_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=_8LZsB59ynoAX-dEjTE&oh=508423c15164d3792d359f9dab35c06a&oe=5EE391A7,18,https://www.instagram.com/p/B_37ZYClU7U,Thu May 07 11:51:19 WIB 2020,"Selamat Hari Raya Waisak bagi moms yang merayakan#playnlearn #playnlearnindonesia  #vesakday #waisak2020dirumahaja"
0,0.5345211581291759%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/95018377_3252881218079848_8219295248219797168_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=w9DdG_TvPP8AX-EUCbV&oh=1aed123d112092bcc55d8c100fc06f95&oe=5EE06E28,12,https://www.instagram.com/p/B_mc1x4F_GL,Thu Apr 30 16:57:14 WIB 2020,"Dalam masa karantina seperti ini yang mengharuskan kita melakukan segalanya di rumah pasti buat si kecil jadi jenuh banget kan moms .. nah mungkin moms bisa bermain sambil belajar dan mengisi waktu dengan beberapa permainan Floor Time seperti menyusun balok, bermain magic sand , menyusun puzzle dan tentunya masih banyak lagi#floortime #edukasianak #playnlearn #playnlearnindonesia #stayhome"
0,0.579064587973274%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95401918_548157246099937_5229861256208923392_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Y2GR-J1s_IwAX818jSS&oh=878590d45e350b7300e115c883029095&oe=5EE2A4EC,13,https://www.instagram.com/p/B_eaQLvlJZD,Mon Apr 27 14:00:42 WIB 2020,"Tau ga moms mengajarkan puasa kepada si kecil itu banyak manfaatnya loh selain menyehatkan, Dengan berpuasa moms bisa mengajarkan ttg kedisiplinan dan rasa empati karena harus menahan lapar dan haus Akan tetapi harus diingat ya moms, tentunya mengajarkan puasa kepada si kecil dapat dilakukan perlahan seperti sikecil dapat melakukan puasa dengan rentang waktu yang pendek terlebih dahulu#playnlearn #playnlearnindonesia #puasa #ramadan2020"
0,1.3363028953229399%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/94654948_608140823107430_1564273327998129972_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-BfJUAJInTUAX9xAADB&oh=629cc437b16340af98afef58abbf9ea0&oe=5EE173BF,30,https://www.instagram.com/p/B_WjcGkF9bZ,Fri Apr 24 12:47:02 WIB 2020,"Selamat menunaikan ibada puasa untuk para moms yg menjalankannya .#playnlearn #puasa2020 #stayathome #playnlearnindonesia"
2,0.7572383073496659%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/93159303_142909727269134_1109092161281323343_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=n6MNow61zUMAX_nNVaK&oh=e3947f1538c6668dd194b83e8082c000&oe=5EE38AE0,15,https://www.instagram.com/p/B-yRjRPlTrY,Fri Apr 10 10:38:04 WIB 2020,"Hi moms .. Play N Learn mengucapkan Selamat Hari Raya Paskah 2020 untuk para moms yang merayakannya Semoga moms dan keluarga selalu diberikan kebahagiaan dan tentunya selalu dalam perlindungannya #playnlearn #playnlearnbali #playnlearnsleman #playnlearnsurabaya #playnlearnbatam #playnlearnkemang #playnlearnpekanbaru #playnlearnmedan #playnlearnjakarta #paskah"
2,0.8463251670378619%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/89296255_193471461946588_805378994962986173_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=RIb2LzXI9-8AX8biUpL&oh=0aa9ad93fb5397a11e7f3f76ff9f9b5e&oe=5EE09355,17,https://www.instagram.com/p/B9lR__Fh7c8,Wed Mar 11 13:00:28 WIB 2020,"Moms, yuk ajak si kecil bersenang-senang dan bermain beragam permainan seru di Timezone Play N Learn. Play ground dengan kebersihan dan higienitas dengan standar tinggi ini sangat aman untuk si kecil sehingga si kecil bisa bermain tanpa khawatir. ​Sudahkah moms menerapkan kebersihan dan higienitas untuk mainan si kecil di rumah?​ #PlayNLearn #PlayNLearnID #CleanHygine​  #TimezonePlayNLearn #Kids #Fun #Healthy #Active #PlaceForKids #PlayGround ​"
2,1.3363028953229399%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/87617898_1156826764709395_8671805493174116445_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=EawD_QLbhQYAX81plvj&oh=57771790a9ffe5dbf90217f1ba8b7b7e&oe=5EE22777,28,https://www.instagram.com/p/B9irYY_ls5R,Tue Mar 10 12:44:32 WIB 2020,"Maraknya pemberitaan tentang penyebaran Virus pasti cukup mengkhawatirkan ya, Moms?  Tapi tenang, Moms ! ada Safety Awareness berikut bisa Moms lakukan dan terapkan pada si kecil agar terhindar dari penyebaran virus dan bakteri di luar sana. Selain cara tersebut, jangan lupa juga ya Moms untuk turut mejaga kesehatan tubuh keluarga, higienitas mainan si kecil agar si kecil dapat tetap play in safety seperti di Play N Learn! #PlayNLearn #PlayNLearnID #CleanHygine #TimezonePlayNLearn #Kids #Fun #Healthy #Active #PlaceForKids #PlayGround #Yukkeplaynlearn"
0,1.024498886414254%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/88986259_493297794913175_3883830842463649218_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=L8L8OoMVS_gAX9bF_bm&oh=1aed031d76b36f38d4aed3896fc7b35c&oe=5EE22B87,23,https://www.instagram.com/p/B9gkXMTF-uv,Mon Mar 09 17:04:43 WIB 2020,"Tahukah moms, menjaga higienitas mainan sangat penting loh! Mainan yang dibersihkan secara berkala dapat meminimalisir penyebaran bakteri dan virus penyebab sakit, sehingga si kecil bisa bermain dengan nyaman tanpa takut khawatir. Sudahkah Moms membersihkan mainan si kecil secara rutin? #PlayNLearn #PlayNLearnID #CleanHygine #TimezonePlayNLearn #Kids #Fun #Healthy #Active #PlaceForKids #PlayGround"
0,1.158129175946548%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/88928309_639479113482853_4492098979161278676_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kOZ3phAsmLsAX9EPSge&oh=5cdec05ae954d52a342ebe7ebf9e5674&oe=5EE3801D,26,https://www.instagram.com/p/B9a-1V0BFqX,Sat Mar 07 13:00:35 WIB 2020,"Anak-anak sangat senang mencoba hal baru, apalagi saat bermain. Mereka biasanya akan lebih bebas berekspresi dan lebih percaya diri. mengajak si kecil mencoba permainan bola di Play N Learn bisa Moms coba loh!Dengan permainan ini, kepercayaan diri si kecil akan meningkat dan juga bebas aktif bergerak. Di Play N Learn, ada beberapa jenis permainan seru yang bisa si kecil coba seperti Jumping, Climbing, Sliding, Obstacles, Digging hingga Free Play. Yuk, ajak si kecil bermain bersama!#PlayNLearn #PlayNLearnID #TimezonePlayNLearn #Kids #Fun #Healthy #Active #PlaceForKids  #PlayGround #KidsFootbal"
0,0.7126948775055679%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/88254665_600265040556927_2987731015545089595_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Wv5Tr7qBr2IAX9CCQ9a&oh=e261c3508f50dd9bfecb124c83abc0d7&oe=5EE17313,16,https://www.instagram.com/p/B9YaCbdBLE-,Fri Mar 06 13:00:35 WIB 2020,"Moms, bermain bersama si kecil sudah pasti menjadi hal yang menyenangkan ya? Tapi sebelum mengajaknya bermain apalagi di tempat umum, yuk perhatikan beberapa hal berikut:1. Pastikan si kecil dalam keadaan fit agar bisa aktif bermain sesuka hati.2. Pilih tempat bermain yang nyaman dan kebersihannya terjaga agar si kecil tidak mudah terserang bakteri penyebab sakit dan dapat bermain dengan aman.3. Biasakan ajak si kecil untuk mencuci tangan sebelum bermain dan gunakan kaus kaki saat bermain agar kaki tetap bersih dan terlindungi.Moms bisa juga loh ajak si kecil bermain di Play n Learn, tempat bermain yang seru untuk si kecil dengan beragam permainan yang menyenangkan. Selain itu, tersedia beragam jenis mainan yang sudah terjamin kebersihan dan kehigienisannya sehingga aman untuk si kecil. #PlayNLearn #PlayNLearnID #TimezonePlayNLearn #Kids #Fun #Healthy #Active #PlaceForKids  #PlayGround #Tips"
