Comments,Engagement rate,Image,Likes,Url,Date,Caption
4,0.14336917562724014%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/96689603_238923020763514_6159371211255649305_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=pOn-7W3W_AMAX9mwJt0&oh=fd155797f7175be229f1761596c76258&oe=5EE04C81,6,https://www.instagram.com/p/B_9jhaEgozm,Sat May 09 16:18:09 WIB 2020,"Adik kecil ini ingin bermain bersama temannya. Kita bantu yuk temukan jalan yang tepat agar adik ini bisa bertemu dan bermain bersama temannya 😊Kira-kira jalan mana ya yang benar?Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah"
0,0.22939068100358423%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/96082798_674864376421827_1391175629697674830_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=y2EJmEcyrJIAX8aoyU7&oh=2bf4f59fd241e2a0c0bd327de8ea53c7&oe=5EE10BE6,16,https://www.instagram.com/p/B_6CR8agkNi,Fri May 08 07:29:57 WIB 2020,"Jemur pagi hari ini #temanPLAY Rania menemukan bunga-bunga yang berguguran. Setelah dikumpulkan, dibawa pulang ke rumah dan dicuci bersih. Bunga-bunga tersebut diwarnain, ditambah dengan gambar pot dan jadi deh lukisan 3D. Bagus yaaa 🌸❤️ Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #painting #3d #lukisan #3dpainting  #PlaytopiaMaindiRumah"
0,0.08602150537634409%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/95664992_1480500785444570_2380607017005790299_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=7b23-YJseo4AX9geggj&oh=4f41a1daf1209699dc94c1fe03b8e6e4&oe=5EE1398C,6,https://www.instagram.com/p/B_3b4qsAMSM,Thu May 07 07:15:58 WIB 2020,"Selamat Hari Raya Waisak untuk #temanPlay yang merayakan. Semoga kedamaian dan kebahagiaan selalu menyertai kita 😊Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #waisak #buddha #HariRayaWaisak"
1,0.3010752688172043%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/96254794_548107795891328_1419069218282159175_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EJZTXQ20egAAX_EGQLB&oh=5f89e0ff3c7f6cecca4204a70c68be93&oe=5EE0D363,20,https://www.instagram.com/p/B_1fzcKAGNn,Wed May 06 13:11:44 WIB 2020,"#PlaytopiaMaindiRumah kali ini akan membagikan cara membuat karakter hewan landak yang lucu menggunakan alat dan bahan sederhana yang ada di rumah.Alat dan bahan yang diperlukan untuk membuat karakter hewan landak ini hanya kertas, gunting, lem dan spidol.Buat #temanPlay yang mau mencoba membuatnya di rumah bisa ikuti langkah-langkah yang ada di video ini yaa 😊Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #landak #animal #hewan #character #cute"
0,0.14336917562724014%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95454834_808407596350059_7449509787107967898_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=i3G06yMh_OsAX9bC0Kk&oh=3d0a5cf6e64235704a298a54355d9f93&oe=5EE15B6B,10,https://www.instagram.com/p/B_yrYEPgemW,Tue May 05 10:55:08 WIB 2020,"#PlaytopiaMaindiRumahAda banyak cara untuk berkreasi selama kita berada di rumah. Salah satunya adalah melukis dengan teknik finger paint ini.Finger paint atau melukis dengan menggunakan jari ini sangat mudah lho.. kita hanya perlu media kertas, cat air, dan jari sebagai alat lukisnya 😊Buat #temanPlay yang mau mencobanya di rumah bisa juga download gambar printablenya di bit.ly/PlaytopiaFreePrintables atau klik link yang ada di bio!Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #fingerpaint #finger #paint #creative #freeprintables #painting"
0,0.12903225806451613%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/95654392_162653548552540_4974205394875190107_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=00g0mzabM-oAX8NFVvT&oh=0918bae72997111df6d5df25710bb946&oe=5EE3E345,9,https://www.instagram.com/p/B_waowgAt2a,Mon May 04 13:50:23 WIB 2020,"Hai teman-teman.. MinPlay punya printables yang lucu lagi nih untuk kalian mainkan di rumah 😁Ada banyak pilihan animal paper crown yang bisa kamu pilih lho disini. Download dan mainkan yuk! Yang mana hewan favorit kamu? 😁Untuk download free printables-nya kalian bisa klik link yang ada di bio ya! #PlaytopiaMaindiRumahPlaytopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #free #printables #paper #crown #animal #printablesforkids"
1,0.08602150537634409%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/96080733_241192196992248_903371308648181896_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=8US5UczvPhkAX-YyNwy&oh=9dc3a6febf727cd8248508be54e546a4&oe=5EE3A129,5,https://www.instagram.com/p/B_tgC6XgojM,Sun May 03 10:39:55 WIB 2020,"Siapa yang puasanya tidur melulu? 😅Supaya teman-teman gak ngantuk dan tetap fokus, minPlay punya game seru nih! Didalam gambar ini tersembunyi beberapa kata PLAY. Yuk hitung ada berapa kata Play yang tersembunyi! Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #play #kata #katatersembunyi #focus #puasa #stayfocused"
0,0.11469534050179211%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95561978_322450402053753_8707802991172904245_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=wtuOudMECR4AX-W47EC&oh=95b6eb41939a978301f65b2d65da92d9&oe=5EE2253D,8,https://www.instagram.com/p/B_qcTFwAt0s,Sat May 02 06:09:27 WIB 2020,"Selamat Hari Pendidikan NasionalWalau sekolah diliburkan bukan berarti kita berhenti belajar yaa. Kita bisa belajar dari rumah mengikuti kelas online atau mempelajari hal-hal baru yang menyenangkan seperti yang Playtopia sering share. Karena dengan belajar, kita akan mendapat ilmu pengetahuan yang akan berguna di masa depan. 😊Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #Hardiknas #HariPendidikanNasional #tutwurihandayani #belajar #study #kihajardewantara #belajardarirumah"
0,0.22939068100358423%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/95174689_622820104977838_8088175947613506868_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=a3-cuuLiZ-UAX9HKiu-&oh=36bbde3fc644482a3e75bcca9b414ab0&oe=5EE06513,16,https://www.instagram.com/p/B_oxG_AgN7U,Fri May 01 14:32:49 WIB 2020,"#PlaytopiaMaindiRumah Berlatih membaca jadi jauuhh lebih semangat dan seru karena sambil main tembakan air. Bisa jadi kegiatan sambil berjemur pagi juga lho.Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #main #membaca #berlatihmembaca #read #play #berjemurpagi"
0,0.11469534050179211%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/95383307_2541960872799806_6449480478877930865_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mLGwrHWoI1MAX_7H83Q&oh=f04b9f16c9ddedb59f34958289a14848&oe=5EE141BB,8,https://www.instagram.com/p/B_mOsEKgPPp,Thu Apr 30 14:53:34 WIB 2020,"#PlaytopiaMaindiRumah .Hi #temanPlay.. ada 4 orang teman-teman yang sudah panjang sekali nih rambutnya.. yuk kita bantu untuk menggunting dan merapikannya. FREE gambar printable-nya bisa langsung didownload dari link di bio @playtopia.id yah 😊Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #pretendplay #salon #salonrambut #cukurrambut #printable #printablesforkids #freeprintablePlaytopia"
9,0.3010752688172043%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/94786401_1614325122058560_3784475131945492466_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-IlYlzuiYq8AX9jhOfa&oh=584a7372f8a9719129791af9a2e99c11&oe=5EE0B3E5,12,https://www.instagram.com/p/B_jqrgcAoIc,Wed Apr 29 15:00:26 WIB 2020,"Hai temanPLAY! Kita main tebak-tebakan yuk! 😊Di dalam gambar ini bukan hanya gambar garis-garis tapi MinPlay sudah selipkan kata tersembunyi di dalamnya. Kira-kira teman-teman ada yang bisa tebak kata apa itu?Yuk tulis jawabanmu di kolom komentar! 😉Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #trivia #tebakan #katatersembunyi #hidden #PlaytopiaMaindiRumah"
0,0.5448028673835126%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/95007298_550298669002773_8491262014472088337_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JE-q2YZGdYcAX_0sDLC&oh=6ad87b4cfd1f1d1ffae826fc7bd3137f&oe=5EBB0A68,38,https://www.instagram.com/p/B_hHFeeAmxP,Tue Apr 28 15:15:09 WIB 2020,"Mengajarkan si kecil tentang pentingnya sikat gigi bisa dimulai dari kegiatan sederhana seperti ini. Ceritanya gigi hippo kotor dan banyak kuman, setelah disikat hingga bersih, hippo bisa tersenyum lebar lagi..Yang dibutuhkan gambar gigi (bisa gambar sendiri seperti minPlay atau print langsung dari printable yg sudah kami sediakan), clear holder (map bening) atau plastik untuk simpan file, spidol whiteboard, dan sikat gigi bekas..Untuk gambar printable bisa kamu download dengan klik link yang ada di bio ya! Selamat mencoba dirumah 😊Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #hippo #teeth #hippopotamus #sikatgigi #PlaytopiaMaindiRumah"
1,0.1863799283154122%,https://instagram.fcgk18-2.fna.fbcdn.net/v/t51.2885-15/e35/94880269_102234438109350_8489060172179970839_n.jpg?_nc_ht=instagram.fcgk18-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=x-pi4_b3SXMAX83CCuD&oh=e61af264457f036c170e2557cb26b7d0&oe=5EBB563F,12,https://www.instagram.com/p/B_eXo5CAu4o,Mon Apr 27 13:45:27 WIB 2020,"Hai temanPLAY apa kabar?#PlaytopiaMaindiRumah kali akan membagikan kegiatan seru yang bisa kamu lakukan di rumah, yaitu Invisible Ink Trick! dengan trick ini kamu bisa bermain pesan rahasia. Cara membuatnya juga mudah, kamu hanya perlu kertas putih, crayon putih, dan cat air. Tonton videonya sampai selesai ya.. selamat mencoba di rumah! 😊Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #invisible #ink #trick #idebermain #inkdrawing #secretmessage"
3,0.1863799283154122%,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/94253087_3294043687487651_6291646093465369185_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=juuSShv4WlIAX89fg3y&oh=24f752d0320964bd28004d581ea230e6&oe=5EE16FA3,10,https://www.instagram.com/p/B_bZ-J-ALvX,Sun Apr 26 10:00:31 WIB 2020,"Hallo temanPLAY gimana puasanya? Masih semangat kan? Harus doong.. 😊Supaya teman-teman tambah semangat, minPLAY punya puzzle nih.. tapi puzzlenya belum lengkap, bantu minPLAY lengkapi puzzle ini yuk! Playtopia - Never Ending Happiness#Playtopia #NeverEndingHappiness #Playground #WahanaBermain #WahanaBermainAnak #Happy #Kids #Activity #Education #Fun #maindirumah #stayhome #stayathome #dirumahaja #puzzle #puzzletime"
